
Solution: (0,6) (2,7) (2,17) (3,15) (5,10) (5,22) (5,41) (10,29) (11,2) (11,46) (12,48) (13,18) (15,33) (15,42) (16,9) (17,34) (18,23) (19,38) (22,1) (22,45) (23,30) (24,3) (24,26) (25,8) (25,36) (25,43) (26,19) (26,32) (28,20) (28,27) (29,49) (30,35) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (40,14) (40,21) (41,24) (41,40) (43,12) (43,47) (44,28) (45,13) (46,44) (47,16) (48,5) (49,11) 
# pairs of queens attacking each other: 42


Solution: (0,6) (1,1) (2,7) (2,17) (3,15) (5,10) (5,22) (5,41) (10,29) (11,2) (11,46) (12,48) (13,18) (15,33) (15,42) (16,9) (17,34) (18,23) (19,38) (22,45) (23,30) (24,3) (24,26) (25,8) (25,36) (25,43) (26,19) (26,32) (28,20) (28,27) (29,49) (30,35) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (40,14) (40,21) (41,24) (41,40) (43,12) (43,47) (44,28) (45,13) (46,44) (47,16) (48,5) (49,11) 
# pairs of queens attacking each other: 40

Solution: (0,6) (1,1) (2,7) (2,17) (3,15) (5,10) (5,22) (5,41) (6,2) (10,29) (11,46) (12,48) (13,18) (15,33) (15,42) (16,9) (17,34) (18,23) (19,38) (22,45) (23,30) (24,3) (24,26) (25,8) (25,36) (25,43) (26,19) (26,32) (28,20) (28,27) (29,49) (30,35) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (40,14) (40,21) (41,24) (41,40) (43,12) (43,47) (44,28) (45,13) (46,44) (47,16) (48,5) (49,11) 
# pairs of queens attacking each other: 39

Solution: (0,6) (1,1) (2,7) (2,17) (3,15) (5,10) (5,22) (5,41) (6,2) (9,3) (10,29) (11,46) (12,48) (13,18) (15,33) (15,42) (16,9) (17,34) (18,23) (19,38) (22,45) (23,30) (24,26) (25,8) (25,36) (25,43) (26,19) (26,32) (28,20) (28,27) (29,49) (30,35) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (40,14) (40,21) (41,24) (41,40) (43,12) (43,47) (44,28) (45,13) (46,44) (47,16) (48,5) (49,11) 
# pairs of queens attacking each other: 37

